ID,DEPARTAMENTO,REFERENCIA,DESCRIPCION,VIA AFECTADA,FECHA,LONG,LAT,EVENTO,FUENTE,HubName,HubDist,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territoria,tramo,sector,administra,ruta,length_km,corrlog
"0",CAUCA,PIENDAMO,INCUMPLIMIENTO ACUERDOS,CALI - POPAYAN,2023/08/01,-76.535475,2.640985,Manifestación de personas,COLFECAR,"349",11070.2245721159,2602A0,2602A,"0",0,"42",0,"08",Alternas a la Troncal de Occidente,Piendamó - Totoró,"1",,42.3627629297332,
"1",LA GUAJIRA,KM 5+500,PDT,RIOHACHA - PARAGUACHON,2023/08/01,-72.816669,11.515766,Manifestación de personas,COLFECAR,"125",34251.3852656752,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"2",NARIÑO,RICAURTE,PDT,PASTO - TUMACO,2023/08/01,-77.988737,1.20761,Manifestación de personas,COLFECAR,"553",12968.4351323012,"10020","1002","0",0,"95",0,"17",Transversal Tumaco - Leticia,Junín - Tuquerres,"1",,94.2183986661445,1. Bogotá-B/ventura-Ipiales
"3",SANTANDER,KM 6,PDT,LA LIZAMA - SAN ALBERTO,2023/08/01,-73.550762,7.3653,Manifestación de personas,COLFECAR,"513",10206.5874961079,"45130","4513","0",0,"90",748,"22",Troncal del Magdalena,La Lizama -San Alberto,"1",,102.661756717652,3. Bogotá-B/quilla
"4",LA GUAJIRA,KM 5+500,PDT,RIOHACHA - PARAGUACHON,2023/08/02,-72.807982,11.513651,Manifestación de personas,COLFECAR,"125",33275.4897339902,"90100","9010","0",0,"88",0,"13",Transversal del Caribe,Riohacha - Paraguachón,"2",,87.5749326388281,3. Bogotá-B/quilla
"5",CAUCA,PIENDAMO,INCUMPLIMIENTO ACUERDOS,CALI - POPAYAN,2023/08/02,-76.533179,2.638928,Manifestación de personas,COLFECAR,"349",10728.413274963,2602A0,2602A,"0",0,"42",0,"08",Alternas a la Troncal de Occidente,Piendamó - Totoró,"1",,42.3627629297332,
"6",NARIÑO,RICAURTE,PDT,PASTO - TUMACO,2023/08/02,-78.008041,1.220024,Manifestación de personas,COLFECAR,"553",15363.5414431328,"10020","1002","0",0,"95",0,"17",Transversal Tumaco - Leticia,Junín - Tuquerres,"1",,94.2183986661445,1. Bogotá-B/ventura-Ipiales
"7",SANTANDER,KM 6,PDT,LA LIZAMA - SAN ALBERTO,2023/08/02,-73.559859,7.315082,Manifestación de personas,COLFECAR,"513",15678.5304035658,"45130","4513","0",0,"90",748,"22",Troncal del Magdalena,La Lizama -San Alberto,"1",,102.661756717652,3. Bogotá-B/quilla
"8",HUILA,GUACIRCO,PDT,NEIVA - CASTILLA,2023/08/02,-75.269499,2.991787,Manifestación de personas,COLFECAR,"61",32471.6375079172,"45060","4506","0",0,"83",100,"14",Troncal del Magdalena,Neiva - Natagaima,"2",,82.6886706421378,7. Bogotá-Puerto Asis
"9",SUCRE,EL FLORAL,PDT,SINCELEJO - TOLUVIEJO,2023/08/02,-75.436053,9.369028,Manifestación de personas,COLFECAR,"133",2033.53625246652,25SC010,25SC01,"0",0,"18",335,"23",Acceso a Sincelejo,Sincelejo - Toluviejo,"2",,35.6794582869366,2. Cali-Medellín-Cartagena
